Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),ATVs not issued ,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
France,INDIA,BANGALORE,21.0,19.0,1.0,45048.0,42308.0,4772.0,11.3,15.0,2362.0,5.243296039779791,45069.0,42342.0,2363.0,5.243071734451619
France,INDIA,KOLKATA,0.0,0.0,0.0,18810.0,18120.0,2286.0,12.6,73.0,617.0,3.2801701222753854,18810.0,18120.0,617.0,3.2801701222753854
France,INDIA,MUMBAI,43.0,35.0,8.0,69603.0,60962.0,9912.0,16.3,470.0,8171.0,11.739436518540867,69646.0,60997.0,8179.0,11.743675157223674
France,INDIA,NEW DELHI,30.0,21.0,8.0,71222.0,59861.0,7273.0,12.1,1.0,10663.0,14.971497570975261,71252.0,59883.0,10671.0,14.97642171447819
France,INDIA,PONDICHERY,13.0,12.0,1.0,24470.0,22319.0,1895.0,8.5,250.0,1901.0,7.768696362893339,24483.0,22331.0,1902.0,7.768655801985052
France,INDONESIA,JAKARTA,1.0,0.0,1.0,55959.0,54985.0,13027.0,23.7,197.0,777.0,1.388516592505227,55960.0,54985.0,778.0,1.3902787705503932
France,IRAN,TEHERAN,24.0,17.0,5.0,59967.0,41359.0,10060.0,24.3,96.0,19816.0,33.04484132939783,59991.0,41472.0,19821.0,33.03995599339901
France,IRAQ,BAGHDAD,4.0,3.0,0.0,6137.0,3816.0,760.0,19.9,97.0,2179.0,35.50594753136711,6141.0,3916.0,2179.0,35.48282038755903
France,IRAQ,ERBIL,0.0,0.0,0.0,13302.0,4746.0,802.0,16.9,10.0,8369.0,62.915351075026315,13302.0,4756.0,8369.0,62.915351075026315
France,IRELAND,DUBLIN,0.0,0.0,0.0,2173.0,2086.0,185.0,8.9,4.0,43.0,1.9788311090658077,2173.0,2090.0,43.0,1.9788311090658077
France,ISRAEL,HAIFA,0.0,0.0,0.0,14.0,13.0,6.0,46.2,-1.0,2.0,14.285714285714285,14.0,13.0,2.0,14.285714285714285
France,ISRAEL,JERUSALEM,4.0,4.0,0.0,4159.0,3799.0,1210.0,31.9,28.0,309.0,7.429670593892762,4163.0,3831.0,309.0,7.422531828008648
France,ISRAEL,TEL AVIV,4.0,4.0,0.0,613.0,577.0,80.0,13.9,18.0,18.0,2.936378466557912,617.0,581.0,18.0,2.9173419773095626
France,ITALY,ROME,0.0,0.0,0.0,38.0,38.0,6.0,15.8,0.0,0.0,0.0,38.0,38.0,0.0,0.0
France,JAPAN,TOKYO,0.0,0.0,0.0,2753.0,2592.0,682.0,26.3,2.0,107.0,3.886669088267345,2753.0,2594.0,107.0,3.886669088267345
France,JORDAN,AMMAN,3.0,1.0,1.0,5547.0,4909.0,1692.0,34.5,3.0,549.0,9.89724175229854,5550.0,4913.0,550.0,9.90990990990991
France,KAZAKHSTAN,ALMATY,0.0,0.0,0.0,10514.0,9700.0,2582.0,26.6,212.0,602.0,5.725699067909454,10514.0,9700.0,602.0,5.725699067909454
France,KAZAKHSTAN,ASTANA,0.0,0.0,0.0,66.0,60.0,16.0,26.7,6.0,0.0,0.0,66.0,60.0,6.0,9.090909090909092
France,KENYA,NAIROBI,1.0,1.0,0.0,5059.0,4647.0,1141.0,24.6,2.0,310.0,6.1276932200039536,5060.0,4650.0,310.0,6.126482213438735
France,KUWAIT,KUWAIT,0.0,0.0,0.0,52724.0,50405.0,41998.0,83.3,441.0,1652.0,3.1332979288369622,52724.0,50846.0,1652.0,3.1332979288369622
France,LAOS,VIENTIANE,1.0,1.0,0.0,2779.0,2463.0,225.0,9.1,17.0,299.0,10.759265922993883,2780.0,2464.0,299.0,10.755395683453237
France,LEBANON,BEIRUT,19.0,8.0,10.0,58825.0,52515.0,13200.0,25.1,137.0,5665.0,9.630259243518912,58844.0,52660.0,5675.0,9.644143837944394
France,MADAGASCAR,ANTANANARIVO,1.0,1.0,0.0,20630.0,15692.0,3435.0,21.9,232.0,4706.0,22.811439650993698,20631.0,15693.0,4706.0,22.810333963453054
France,MALAYSIA,KUALA LUMPUR,2.0,1.0,1.0,1465.0,1191.0,104.0,8.7,45.0,229.0,15.631399317406144,1467.0,1192.0,230.0,15.678254942058622
France,MALI,BAMAKO,41.0,28.0,9.0,16968.0,12708.0,3332.0,26.2,12.0,3730.0,21.982555398396983,17009.0,12748.0,3739.0,21.982479863601622
France,MALTA,VALETTA,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
France,MAURITANIA,NOUAKCHOTT,20.0,13.0,7.0,5085.0,4006.0,1125.0,28.1,1.0,950.0,18.682399213372662,5105.0,4020.0,957.0,18.746327130264447
France,MAURITIUS,PORT LOUIS,1.0,1.0,0.0,878.0,822.0,297.0,36.1,39.0,17.0,1.9362186788154898,879.0,823.0,17.0,1.9340159271899888
France,MEXICO,MEXICO CITY,21.0,16.0,0.0,206.0,174.0,21.0,12.1,19.0,13.0,6.310679611650485,227.0,190.0,13.0,5.726872246696035
France,MONACO,MONACO,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,50.0,2.0,1.0,1.0,50.0
France,MONGOLIA,ULAN BATOR,0.0,0.0,0.0,3159.0,2524.0,369.0,14.6,25.0,610.0,19.30990819879709,3159.0,2524.0,610.0,19.30990819879709
France,MOROCCO,AGADIR,0.0,0.0,0.0,32692.0,23735.0,10595.0,44.6,11.0,8672.0,26.52636730698642,32692.0,23746.0,8672.0,26.52636730698642
France,MOROCCO,CASABLANCA,0.0,0.0,0.0,104809.0,94224.0,35162.0,37.3,7.0,9066.0,8.65002051350552,104809.0,94231.0,9066.0,8.65002051350552
France,MOROCCO,FES,0.0,0.0,0.0,75745.0,59094.0,19505.0,33.0,7.0,20057.0,26.479635619512838,75745.0,59101.0,20057.0,26.479635619512838
France,MOROCCO,MARRAKECH,4.0,4.0,0.0,30866.0,25171.0,7393.0,29.4,9.0,4956.0,16.056502300265667,30870.0,25184.0,4956.0,16.054421768707485
France,MOROCCO,RABAT,0.0,0.0,0.0,73289.0,67232.0,25892.0,38.5,74.0,5736.0,7.826549686856145,73289.0,67306.0,5736.0,7.826549686856145
France,MOROCCO,TANGER,0.0,0.0,0.0,45024.0,33905.0,10179.0,30.0,4.0,8297.0,18.427949538024166,45024.0,33909.0,8297.0,18.427949538024166
France,MOZAMBIQUE,MAPUTO,6.0,6.0,0.0,1208.0,1019.0,80.0,7.9,22.0,167.0,13.82450331125828,1214.0,1025.0,167.0,13.756177924217464
France,MYANMAR,YANGON,0.0,0.0,0.0,2797.0,2559.0,264.0,10.3,31.0,207.0,7.400786557025385,2797.0,2559.0,207.0,7.400786557025385
France,NEW ZEALAND,WELLINGTON,0.0,0.0,0.0,759.0,742.0,174.0,23.5,8.0,9.0,1.185770750988142,759.0,742.0,9.0,1.185770750988142
France,NICARAGUA,MANAGUA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,,1.0,100.0
France,NIGER,NIAMEY,0.0,0.0,0.0,6171.0,5340.0,1672.0,31.3,51.0,653.0,10.581753362502026,6171.0,5391.0,653.0,10.581753362502026
France,NIGERIA,ABUJA,54.0,28.0,25.0,7787.0,4181.0,1038.0,24.8,270.0,3510.0,45.07512520868113,7841.0,4479.0,3535.0,45.083535263359266
France,NIGERIA,LAGOS,102.0,24.0,54.0,25521.0,12330.0,3962.0,32.1,11.0,12963.0,50.79346420594805,25623.0,12365.0,13017.0,50.80201381571244
France,NORTH MACEDONIA,SKOPJE,0.0,0.0,0.0,64.0,48.0,20.0,41.7,8.0,8.0,12.5,64.0,48.0,8.0,12.5
France,NORWAY,OSLO,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
France,OMAN,MUSCAT,0.0,0.0,0.0,8081.0,7324.0,3369.0,46.0,2.0,579.0,7.164954832322732,8081.0,7326.0,579.0,7.164954832322732
France,PAKISTAN,ISLAMABAD,2.0,0.0,1.0,6388.0,3780.0,606.0,16.0,43.0,2476.0,38.76017532874139,6390.0,3823.0,2477.0,38.76369327073552
France,PAKISTAN,KARACHI,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
France,PANAMA,PANAMA CITY,7.0,7.0,0.0,102.0,88.0,4.0,4.5,7.0,7.0,6.862745098039216,109.0,95.0,7.0,6.422018348623854
France,PARAGUAY,ASUNCION,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
France,PERU,LIMA,1.0,1.0,0.0,142.0,128.0,10.0,7.8,9.0,5.0,3.5211267605633805,143.0,129.0,5.0,3.4965034965034967
France,PHILIPPINES,MANILA,2.0,1.0,1.0,33193.0,29431.0,7832.0,26.6,35.0,3581.0,10.78841924502154,33195.0,29467.0,3582.0,10.79078174423859
France,POLAND,WARSAW,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
France,QATAR,DOHA,2.0,1.0,0.0,34963.0,31910.0,18818.0,59.0,58.0,2880.0,8.237279409661642,34965.0,31969.0,2880.0,8.236808236808237
France,ROMANIA,BUCHAREST,0.0,0.0,0.0,857.0,820.0,155.0,18.9,10.0,27.0,3.150525087514586,857.0,820.0,27.0,3.150525087514586
France,RUSSIAN FEDERATION,MOSCOW,24.0,23.0,0.0,378353.0,366033.0,190364.0,52.0,61.0,8798.0,2.325341678273993,378377.0,366117.0,8798.0,2.3251941846359583
France,RWANDA,KIGALI,0.0,0.0,0.0,118.0,107.0,0.0,0.0,2.0,4.0,3.389830508474576,118.0,109.0,4.0,3.389830508474576
France,SAINT LUCIA,CASTRIES,18.0,17.0,0.0,541.0,485.0,122.0,25.2,35.0,21.0,3.8817005545286505,559.0,502.0,21.0,3.7567084078711988
France,SAUDI ARABIA,JEDDAH,8.0,3.0,2.0,61522.0,52744.0,36252.0,68.7,25.0,7475.0,12.150125158479893,61530.0,52772.0,7477.0,12.15179587193239
France,SAUDI ARABIA,RIYADH,5.0,3.0,2.0,69117.0,64213.0,46274.0,72.1,62.0,4037.0,5.840820637469798,69122.0,64278.0,4039.0,5.843291571424438
France,SENEGAL,DAKAR,70.0,53.0,6.0,43145.0,26696.0,7371.0,27.6,3.0,15665.0,36.30779928149264,43215.0,26752.0,15671.0,36.26287168807127
France,SERBIA,BELGRADE,0.0,0.0,0.0,65.0,52.0,15.0,28.8,5.0,8.0,12.307692307692308,65.0,52.0,8.0,12.307692307692308
France,SEYCHELLES,VICTORIA,0.0,0.0,0.0,2.0,2.0,1.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
France,SINGAPORE,SINGAPORE,3.0,2.0,0.0,9983.0,9692.0,4837.0,49.9,109.0,182.0,1.8230992687568868,9986.0,9694.0,182.0,1.8225515722010814
France,SOUTH AFRICA,CAPE TOWN,0.0,0.0,0.0,11193.0,10882.0,4835.0,44.4,1.0,233.0,2.081658179219155,11193.0,10883.0,233.0,2.081658179219155
France,SOUTH AFRICA,JOHANNESBURG,4.0,4.0,0.0,25849.0,24927.0,12299.0,49.3,8.0,627.0,2.425625749545437,25853.0,24939.0,627.0,2.425250454492709
France,SOUTH KOREA,SEOUL,0.0,0.0,0.0,841.0,816.0,52.0,6.4,3.0,22.0,2.6159334126040426,841.0,816.0,22.0,2.6159334126040426
France,SPAIN,MADRID,0.0,0.0,0.0,136.0,122.0,3.0,2.5,10.0,4.0,2.941176470588235,136.0,122.0,4.0,2.941176470588235
France,SRI LANKA,COLOMBO,0.0,0.0,0.0,13236.0,10239.0,2175.0,21.2,21.0,2812.0,21.245089150800847,13236.0,10260.0,2812.0,21.245089150800847
France,SUDAN,KHARTOUM,0.0,0.0,0.0,3236.0,2220.0,573.0,25.8,52.0,812.0,25.092707045735473,3236.0,2272.0,812.0,25.092707045735473
France,SURINAME,PARAMARIBO,0.0,0.0,0.0,2910.0,2695.0,272.0,10.1,1.0,134.0,4.604810996563574,2910.0,2696.0,134.0,4.604810996563574
France,SWEDEN,STOCKHOLM,0.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,1.0,14.285714285714285,7.0,5.0,1.0,14.285714285714285
France,SWITZERLAND,GENEVA,0.0,0.0,0.0,62.0,57.0,0.0,0.0,4.0,1.0,1.6129032258064515,62.0,57.0,1.0,1.6129032258064515
France,SYRIA,ALEPPO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,,,1.0,
France,TAIWAN,TAIPEI,3.0,3.0,0.0,319.0,297.0,15.0,5.1,13.0,9.0,2.8213166144200628,322.0,300.0,9.0,2.7950310559006213
France,TANZANIA,DAR ES SALAAM,0.0,0.0,0.0,1520.0,1252.0,400.0,31.9,36.0,224.0,14.736842105263156,1520.0,1288.0,224.0,14.736842105263156
France,THAILAND,BANGKOK,0.0,0.0,0.0,62120.0,60408.0,26136.0,43.3,1.0,1276.0,2.0540888602704443,62120.0,60409.0,1276.0,2.0540888602704443
France,TOGO,LOME,7.0,5.0,0.0,7498.0,5745.0,2241.0,39.0,1.0,1626.0,21.68578287543345,7505.0,5751.0,1626.0,21.665556295802798
France,TUNISIA,TUNIS,0.0,0.0,0.0,166930.0,135817.0,47329.0,34.8,47.0,26604.0,15.937219193673997,166930.0,135864.0,26604.0,15.937219193673997
France,TURKEY,ANKARA,3.0,3.0,0.0,27240.0,24470.0,6733.0,27.5,4.0,2440.0,8.95741556534508,27243.0,24477.0,2440.0,8.956429174466836
France,TURKEY,ISTANBUL,1.0,1.0,0.0,101411.0,94812.0,33304.0,35.1,2.0,5143.0,5.071441954028655,101412.0,94815.0,5143.0,5.071391945726344
France,UGANDA,KAMPALA,2.0,1.0,0.0,2924.0,2302.0,415.0,18.0,133.0,489.0,16.723666210670316,2926.0,2303.0,489.0,16.712235133287763
France,UKRAINE,KYIV,10.0,8.0,2.0,1906.0,1627.0,84.0,5.2,1.0,232.0,12.17208814270724,1916.0,1636.0,234.0,12.21294363256785
France,UNITED ARAB EMIRATES,ABU DHABI,5.0,5.0,0.0,11964.0,10628.0,3102.0,29.2,19.0,1186.0,9.913072550986293,11969.0,10652.0,1186.0,9.90893140613251
France,UNITED ARAB EMIRATES,DUBAI,13.0,5.0,7.0,26491.0,21677.0,6279.0,29.0,106.0,4403.0,16.620739118946055,26504.0,21788.0,4410.0,16.63899788711138
France,UNITED KINGDOM,EDINBURGH,0.0,0.0,0.0,16.0,13.0,4.0,30.8,0.0,3.0,18.75,16.0,13.0,3.0,18.75
France,UNITED KINGDOM,LONDON,0.0,0.0,0.0,126763.0,124635.0,76434.0,61.3,74.0,1190.0,0.938759732729582,126763.0,124709.0,1190.0,0.938759732729582
France,URUGUAY,MONTEVIDEO,1.0,1.0,0.0,28.0,27.0,1.0,3.7,1.0,0.0,0.0,29.0,28.0,1.0,3.4482758620689653
France,USA,"ATLANTA, GA",36.0,36.0,0.0,1009.0,994.0,115.0,11.6,14.0,1.0,0.09910802775024777,1045.0,1030.0,1.0,0.09569377990430622
France,USA,"BOSTON, MA",2.0,2.0,0.0,1285.0,1244.0,254.0,20.4,38.0,3.0,0.23346303501945526,1287.0,1246.0,3.0,0.2331002331002331
France,USA,"CHICAGO, IL",0.0,0.0,0.0,1363.0,1347.0,309.0,22.9,1.0,18.0,1.3206162876008805,1363.0,1348.0,18.0,1.3206162876008805
France,USA,"HOUSTON, TX",8.0,8.0,0.0,1159.0,1153.0,143.0,12.4,-3.0,9.0,0.7765314926660914,1167.0,1161.0,9.0,0.7712082262210797
France,USA,"LOS ANGELES, CA",3.0,3.0,0.0,2398.0,2402.0,291.0,12.1,-11.0,7.0,0.2919099249374479,2401.0,2405.0,7.0,0.2915451895043732
France,USA,"MIAMI, FL",0.0,0.0,0.0,1396.0,1350.0,392.0,29.0,6.0,40.0,2.865329512893983,1396.0,1350.0,40.0,2.865329512893983
France,USA,"NEW YORK, NY",4.0,4.0,0.0,2715.0,2691.0,578.0,21.5,1.0,14.0,0.5156537753222836,2719.0,2696.0,14.0,0.5148951820522251
France,USA,"SAN FRANCISCO, CA",0.0,0.0,0.0,3810.0,3810.0,1499.0,39.3,0.0,0.0,0.0,3810.0,3810.0,0.0,0.0
France,USA,"WASHINGTON, DC",21.0,20.0,1.0,26745.0,24653.0,7174.0,29.1,13.0,1268.0,4.741073097775285,26766.0,24686.0,1269.0,4.741089441829186
France,UZBEKISTAN,TASHKENT,1.0,1.0,0.0,5382.0,4466.0,401.0,9.0,40.0,731.0,13.582311408398365,5383.0,4507.0,731.0,13.579788222180941
France,VANUATU,PORT VILA,0.0,0.0,0.0,164.0,150.0,38.0,25.3,1.0,13.0,7.926829268292683,164.0,151.0,13.0,7.926829268292683
France,VENEZUELA,CARACAS,9.0,9.0,0.0,103.0,93.0,26.0,28.0,0.0,10.0,9.70873786407767,112.0,102.0,10.0,8.928571428571429
France,VIETNAM,HANOI,0.0,0.0,0.0,35266.0,32198.0,4402.0,13.7,216.0,2814.0,7.9793568876538306,35266.0,32414.0,2814.0,7.9793568876538306
France,VIETNAM,HO CHI MINH,0.0,0.0,0.0,34061.0,30875.0,2180.0,7.1,21.0,2651.0,7.783095035377705,34061.0,30896.0,2651.0,7.783095035377705
France,ZIMBABWE,HARARE,0.0,0.0,0.0,2826.0,2646.0,553.0,20.9,48.0,132.0,4.670912951167728,2826.0,2646.0,132.0,4.670912951167728
Germany,ALBANIA,TIRANA,0.0,0.0,0.0,150.0,107.0,98.0,91.6,24.0,19.0,12.666666666666668,150.0,131.0,19.0,12.666666666666668
Germany,ALGERIA,ALGIERS,0.0,0.0,0.0,5301.0,4077.0,1219.0,29.9,24.0,1200.0,22.637238256932655,5301.0,4101.0,1200.0,22.637238256932655
Germany,ANGOLA,LUANDA,1.0,1.0,0.0,2113.0,1275.0,346.0,27.1,1.0,837.0,39.6119261713204,2114.0,1277.0,837.0,39.59318826868496
Germany,ARGENTINA,BUENOS AIRES,20.0,20.0,0.0,63.0,56.0,56.0,100.0,5.0,2.0,3.1746031746031744,83.0,81.0,2.0,2.4096385542168677
Germany,ARMENIA,YEREVAN,0.0,0.0,0.0,15739.0,14366.0,5877.0,40.9,5.0,1368.0,8.691784738547558,15739.0,14371.0,1368.0,8.691784738547558
Germany,AUSTRALIA,SYDNEY,0.0,0.0,0.0,74.0,31.0,30.0,96.8,20.0,23.0,31.08108108108108,74.0,51.0,23.0,31.08108108108108
Germany,AUSTRIA,VIENNA,0.0,0.0,0.0,23.0,17.0,16.0,94.1,6.0,0.0,0.0,23.0,23.0,0.0,0.0
Germany,AZERBAIJAN,BAKU,0.0,0.0,0.0,13224.0,11377.0,6534.0,57.4,1.0,1846.0,13.959467634603751,13224.0,11378.0,1846.0,13.959467634603751
Germany,BAHRAIN,MANAMA,1.0,1.0,0.0,8971.0,8759.0,8539.0,97.5,14.0,198.0,2.2071118047040463,8972.0,8774.0,198.0,2.2068658047258136
Germany,BANGLADESH,DHAKA,2.0,2.0,0.0,5854.0,4765.0,4700.0,98.6,17.0,1072.0,18.312265117868122,5856.0,4784.0,1072.0,18.30601092896175
Germany,BELARUS,MINSK,4.0,4.0,0.0,35044.0,34694.0,20738.0,59.8,23.0,327.0,0.933112658372332,35048.0,34721.0,327.0,0.9330061629764894
Germany,BELGIUM,BRUSSELS,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Germany,BENIN,COTONOU,0.0,0.0,0.0,699.0,503.0,105.0,20.9,6.0,190.0,27.181688125894134,699.0,509.0,190.0,27.181688125894134
Germany,BOLIVIA,LA PAZ,6.0,6.0,0.0,1938.0,1871.0,1854.0,99.1,7.0,60.0,3.0959752321981426,1944.0,1884.0,60.0,3.0864197530864197
Germany,BOSNIA AND HERZEGOVINA,SARAJEVO,0.0,0.0,0.0,300.0,212.0,194.0,91.5,60.0,28.0,9.333333333333334,300.0,272.0,28.0,9.333333333333334
Germany,BOTSWANA,GABORONE,2.0,2.0,0.0,1655.0,1646.0,1628.0,98.9,1.0,8.0,0.4833836858006042,1657.0,1649.0,8.0,0.48280024140012073
Germany,BRAZIL,PORTO ALEGRE,0.0,0.0,0.0,18.0,17.0,13.0,76.5,0.0,1.0,5.555555555555555,18.0,17.0,1.0,5.555555555555555
Germany,BRAZIL,RECIFE,0.0,0.0,0.0,16.0,13.0,13.0,100.0,0.0,3.0,18.75,16.0,13.0,3.0,18.75
Germany,BRAZIL,RIO DE JANEIRO,0.0,0.0,0.0,56.0,45.0,44.0,97.8,0.0,11.0,19.642857142857142,56.0,45.0,11.0,19.642857142857142
Germany,BRAZIL,SAO PAULO,0.0,0.0,0.0,150.0,115.0,112.0,97.4,1.0,34.0,22.666666666666664,150.0,116.0,34.0,22.666666666666664
Germany,BULGARIA,SOFIA,2.0,2.0,0.0,861.0,834.0,734.0,88.0,13.0,14.0,1.6260162601626018,863.0,849.0,14.0,1.6222479721900347
Germany,BURKINA FASO,OUAGADOUGOU,0.0,0.0,0.0,1299.0,1087.0,1086.0,99.9,6.0,206.0,15.858352578906851,1299.0,1093.0,206.0,15.858352578906851
Germany,CAMBODIA,PHNOM PENH,0.0,0.0,0.0,3526.0,3104.0,919.0,29.6,0.0,422.0,11.96823596142938,3526.0,3104.0,422.0,11.96823596142938
Germany,CAMEROON,YAONDE,0.0,0.0,0.0,4857.0,3493.0,606.0,17.3,9.0,1355.0,27.89787934939263,4857.0,3502.0,1355.0,27.89787934939263
Germany,CANADA,TORONTO,3.0,3.0,0.0,2429.0,2305.0,2281.0,99.0,33.0,91.0,3.7463976945244957,2432.0,2341.0,91.0,3.741776315789474
Germany,CHILE,SANTIAGO DE CHILE,3.0,3.0,0.0,116.0,114.0,79.0,69.3,2.0,0.0,0.0,119.0,119.0,0.0,0.0
Germany,CHINA,BEIJING,1.0,1.0,0.0,140216.0,130643.0,121532.0,93.0,12.0,9561.0,6.81876533348548,140217.0,130656.0,9561.0,6.818716703395451
Germany,CHINA,CHENGDU,0.0,0.0,0.0,20506.0,19975.0,19973.0,100.0,6.0,525.0,2.560226275236516,20506.0,19981.0,525.0,2.560226275236516
Germany,CHINA,GUANGZHOU (CANTON),0.0,0.0,0.0,84037.0,80654.0,66763.0,82.8,1.0,3382.0,4.024417815962017,84037.0,80655.0,3382.0,4.024417815962017
Germany,CHINA,SHANGHAI,0.0,0.0,0.0,172584.0,168020.0,156852.0,93.4,18.0,4546.0,2.6340796365827654,172584.0,168038.0,4546.0,2.6340796365827654
Germany,CHINA,SHENYANG,0.0,0.0,0.0,20119.0,19352.0,19343.0,100.0,5.0,762.0,3.787464585714996,20119.0,19357.0,762.0,3.787464585714996
Germany,COLOMBIA,BOGOTA,15.0,15.0,0.0,112.0,92.0,92.0,100.0,13.0,7.0,6.25,127.0,120.0,7.0,5.511811023622047
Germany,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,0.0,0.0,0.0,250.0,192.0,171.0,89.1,40.0,18.0,7.199999999999999,250.0,232.0,18.0,7.199999999999999
Germany,COSTA RICA,SAN JOSE,5.0,5.0,0.0,35.0,29.0,27.0,93.1,5.0,1.0,2.857142857142857,40.0,39.0,1.0,2.5
Germany,COTE D'IVOIRE,ABIDJAN ,0.0,0.0,0.0,2474.0,1627.0,1121.0,68.9,1.0,846.0,34.19563459983832,2474.0,1628.0,846.0,34.19563459983832
Germany,CROATIA,ZAGREB,2.0,2.0,0.0,240.0,230.0,229.0,99.6,0.0,10.0,4.166666666666666,242.0,232.0,10.0,4.132231404958678
Germany,CUBA,HAVANA,0.0,0.0,0.0,4760.0,3833.0,3820.0,99.7,8.0,919.0,19.30672268907563,4760.0,3841.0,919.0,19.30672268907563
Germany,CYPRUS,NICOSIA,1.0,1.0,0.0,1746.0,1278.0,782.0,61.2,336.0,132.0,7.560137457044673,1747.0,1615.0,132.0,7.55580995993131
Germany,CZECH REPUBLIC,PRAGUE,0.0,0.0,0.0,2.0,1.0,1.0,100.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
Germany,DENMARK,COPENHAGEN,0.0,0.0,0.0,3.0,1.0,1.0,100.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
Germany,DOMINICAN REPUBLIC,SANTO DOMINGO,4.0,4.0,0.0,3410.0,2584.0,1383.0,53.5,2.0,824.0,24.164222873900293,3414.0,2590.0,824.0,24.135910954891624
Germany,ECUADOR,QUITO,4.0,3.0,1.0,5252.0,4659.0,4540.0,97.4,3.0,590.0,11.233815689261235,5256.0,4665.0,591.0,11.244292237442922
Germany,EGYPT,CAIRO,1.0,1.0,0.0,38535.0,32848.0,26496.0,80.7,315.0,5372.0,13.940573504606203,38536.0,33164.0,5372.0,13.940211750051901
Germany,EL SALVADOR,SAN SALVADOR,0.0,0.0,0.0,5.0,5.0,5.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
Germany,ETHIOPIA,ADDIS ABEBA,9.0,9.0,0.0,4265.0,3155.0,642.0,20.3,20.0,1090.0,25.55685814771395,4274.0,3184.0,1090.0,25.503041647168928
Germany,FINLAND,HELSINKI,0.0,0.0,0.0,3.0,3.0,3.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Germany,FRANCE,PARIS,0.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Germany,GEORGIA,TBILISSI,0.0,0.0,0.0,324.0,206.0,66.0,32.0,5.0,113.0,34.876543209876544,324.0,211.0,113.0,34.876543209876544
Germany,GHANA,ACCRA,6.0,4.0,2.0,6406.0,4374.0,1022.0,23.4,10.0,2022.0,31.56415860131127,6412.0,4388.0,2024.0,31.56581409856519
Germany,GREECE,ATHENS,0.0,0.0,0.0,11.0,7.0,7.0,100.0,4.0,0.0,0.0,11.0,11.0,0.0,0.0
Germany,GUATEMALA,GUATEMALA CITY,4.0,4.0,0.0,98.0,96.0,96.0,100.0,2.0,0.0,0.0,102.0,102.0,0.0,0.0
Germany,GUINEA,CONAKRY,0.0,0.0,0.0,3087.0,1468.0,502.0,34.2,3.0,1616.0,52.34855847100746,3087.0,1471.0,1616.0,52.34855847100746
Germany,HONDURAS,TEGUCIGALPA,0.0,0.0,0.0,14.0,14.0,14.0,100.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0
Germany,HONG KONG S.A.R.,HONG KONG,0.0,0.0,0.0,2209.0,2059.0,2030.0,98.6,132.0,18.0,0.8148483476686283,2209.0,2191.0,18.0,0.8148483476686283
Germany,INDIA,BANGALORE,36.0,34.0,2.0,33707.0,31277.0,25611.0,81.9,55.0,2375.0,7.046014181030646,33743.0,31366.0,2377.0,7.044424028687432
Germany,INDIA,CHENNAI,44.0,33.0,11.0,22089.0,20397.0,16558.0,81.2,9.0,1683.0,7.6191769659106345,22133.0,20439.0,1694.0,7.653729724845254
Germany,INDIA,KOLKATA,33.0,31.0,2.0,7497.0,7065.0,7064.0,100.0,0.0,432.0,5.762304921968788,7530.0,7096.0,434.0,5.763612217795485
Germany,INDIA,MUMBAI,176.0,154.0,22.0,57900.0,54082.0,42711.0,79.0,5.0,3813.0,6.585492227979274,58076.0,54241.0,3835.0,6.603416213237827
Germany,INDIA,NEW DELHI,136.0,109.0,27.0,45808.0,40107.0,39190.0,97.7,165.0,5536.0,12.085225288159274,45944.0,40381.0,5563.0,12.108218701027337
